DISTRICTNAME NEIGHBORHOODNAME N AVG_UNITPRICE Q1_UNITPRICE Q3_UNITPRICE IQR CV CLUSTER
Retiro Pacífico 1253 3866.764992760318 3443.708609271523 4291.666666666667 847.9580573951439 0.1173581283757292 "Complete neighborhood"
Tetuán Cuzco-Castillejos 1243 4148.691676403972 3648.068669527897 4779.411764705882 1131.343095177985 0.15434642996203982 "Complete neighborhood"
Chamberí Trafalgar 1241 5193.703158235883 4521.739130434783 6057.692307692308 1535.9531772575249 0.16663589927384903 "Complete neighborhood"
Moncloa Argüelles 1239 4838.9866824265255 4135.021097046413 5773.480662983426 1638.4595659370125 0.14912746433584093 "Single-family home 1 (medium intensity)"
"Puente de Vallecas" Numancia 1211 1931.8126627584245 1666.5555555555557 2225.975975975976 559.4204204204202 0.1836855646381383 "Open block (new extensions)"
Tetuán Valdeacederas 1197 2779.486344227723 2391.891891891892 3363.6363636363635 971.7444717444714 0.15846637863225368 "Complete neighborhood"
Tetuán Valdeacederas 1197 2779.486344227723 2391.891891891892 3363.6363636363635 971.7444717444714 0.15846637863225368 "Open block (new extensions)"
Hortaleza "Pinar del Rey" 1195 2778.946822410655 2373.0158730158732 3187.5 814.4841269841268 0.20080511411943497 "Complete neighborhood"
Carabanchel "Puerta Bonita" 1191 1741.3323430984874 1400 2083.3333333333335 683.3333333333335 0.20988674748759176 "Complete neighborhood"
Latina "Puerta del Ángel" 1170 2280.327223260652 1924.4318181818185 2750 825.5681818181818 0.16286214330483945 "Open block (new extensions)"
Carabanchel "Vista Alegre" 1165 1967.3978238316 1689.655172413793 2272.7272727272725 583.0721003134795 0.1476653213612571 "Open block (new extensions)"
Chamberí Arapiles 1150 4956.974875847782 4268.817204301075 5784.937888198758 1516.1206838976825 0.1573268307563823 "Single-family home 1 (medium intensity)"
Retiro Ibiza 1146 5337.764966584487 4650 6123.161764705883 1473.161764705883 0.15736525202802634 "Complete neighborhood"
Tetuán "Bellas Vistas" 1140 3103.092396312252 2586.206896551724 3702.0833333333335 1115.8764367816093 0.17756241552361843 "Complete neighborhood"
