COD_NDP,DECRETO_LU,DISTRITO,DIRECCION,PLANTA,UNIDADES_VUT,EXPEDIENTE_LU,TIPO,RESOLUCION_LU,EXPEDIENTE_LF,DECRETO  LF,RESOLUCION_LF
31042849,Conceder,Distrito de Moncloa-Aravaca,CALLE ALMANSA 82,BAJA,1,350/2023/31290,VIVIENDAS DE USO TURÍSTICO,02/11/23,350/2024/11124,23/09/24,Conceder
11103408,Conceder,Distrito de Ciudad Lineal,CALLE CYESA 3,BAJA,1,350/2023/31323,VIVIENDAS DE USO TURÍSTICO,03/11/23,350/2024/22977,04/10/24,Conceder
11010938,Conceder,Distrito de Retiro,AVENIDA CIUDAD DE BARCELONA 51,BAJA,1,350/2023/31366,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2024/04378,11/04/24,Conceder
11042289,Conceder,Distrito de Chamberí,CALLE PONZANO 91,BAJA,1,350/2023/31382,VIVIENDAS DE USO TURÍSTICO,13/11/23,350/2024/20353,10/07/24,Conceder
11077968,Conceder,Distrito de Carabanchel,CALLE AGUILAR DEL RIO 2,BAJA,1,350/2023/31403,VIVIENDAS DE USO TURÍSTICO,02/11/23,,,
11077184,Conceder,Distrito de Carabanchel,CALLE ANTONIA RODRIGUEZ SACRISTAN 41,BAJA,1,350/2023/31481,VIVIENDAS DE USO TURÍSTICO,13/11/23,350/2024/05739,11/03/24,Conceder
11054969,Conceder,Distrito de Moncloa-Aravaca,CALLE AGUILAR DE CAMPOO 1,BAJA,1,350/2023/31545,VIVIENDAS DE USO TURÍSTICO,13/11/23,350/2024/38513,15/01/25,Conceder
11131598,Conceder,Distrito de Villa de Vallecas,CALLE CASTRILLO DE AZA 7,BAJA,2,350/2023/31624,VIVIENDAS DE USO TURÍSTICO,25/01/24,350/2024/04764,17/05/24,Conceder
11016808,Conceder,Distrito de Salamanca,CALLE RUFINO BLANCO 16,BAJA,1,350/2023/31750,VIVIENDAS DE USO TURÍSTICO,21/03/24,350/2024/27552,20/11/24,Conceder
11018486,Conceder,Distrito de Salamanca,CALLE ARDEMANS 42,BAJA,1,350/2023/31756,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2024/36229,05/12/24,Conceder
11062865,Conceder,Distrito de Latina,CALLE RAFAEL LOPEZ PANDO 5,BAJA,1,350/2023/31758,VIVIENDAS DE USO TURÍSTICO,21/11/23,350/2023/38351,28/12/23,Conceder
11008116,Conceder,Distrito de Arganzuela,PASEO IMPERIAL 23,BAJA,1,350/2023/31759,VIVIENDAS DE USO TURÍSTICO,21/11/23,350/2023/38352,28/12/23,Conceder
20060190,Conceder,Distrito de Hortaleza,CALLE PURCHENA 67,BAJA,2,350/2023/31760,VIVIENDAS DE USO TURÍSTICO,21/11/23,350/2025/01663,29/01/25,Conceder
11104187,Conceder,Distrito de Ciudad Lineal,CALLE GERARDO CORDON 49,BAJA,1,350/2023/31762,VIVIENDAS DE USO TURÍSTICO,31/05/24,350/2025/18839,23/07/25,Conceder
11002201,Conceder,Distrito de Centro,CALLE MIRA EL SOL 3,BAJA,1,350/2023/31813,VIVIENDAS DE USO TURÍSTICO,14/02/24,350/2024/16872,10/06/24,Conceder
11027538,Conceder,Distrito de Chamartín,CALLE INFANTA MARIA TERESA 9,BAJA,2,350/2023/31872,VIVIENDAS DE USO TURÍSTICO,24/11/23,350/2026/02807,10/02/26,Conceder
11018800,Conceder,Distrito de Salamanca,CALLE ARDEMANS 62,BAJA,1,350/2023/31899,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2024/04370,11/04/24,Conceder
11069099,Conceder,Distrito de Carabanchel,CALLE CONDE DE VISTAHERMOSA 48,BAJA,1,350/2023/31991,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2023/38233,21/03/24,Conceder
11069099,Conceder,Distrito de Carabanchel,CALLE CONDE DE VISTAHERMOSA 48,BAJA,1,350/2023/32011,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2023/38283,21/03/24,Conceder
11117053,Conceder,Distrito de Hortaleza,CALLE MOTILLA DEL PALANCAR 32,BAJA,2,350/2023/32070,VIVIENDAS DE USO TURÍSTICO,16/11/23,,,
11009931,Conceder,Distrito de Arganzuela,CALLE RAFAEL DE RIEGO 48,BAJA Y ENTREPLANTA,2,350/2023/32510,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2023/26299,18/01/24,Conceder
11029069,Conceder,Distrito de Tetuan,CALLE DOCTOR SANTERO 16,BAJA,2,350/2023/32514,VIVIENDAS DE USO TURÍSTICO,28/11/23,350/2025/14634,22/05/25,Conceder
11033688,Conceder,Distrito de Tetuan,CALLE PINOS ALTA 11,BAJA,1,350/2023/32531,VIVIENDAS DE USO TURÍSTICO,25/01/24,350/2024/21093,14/07/25,Conceder
11108886,Conceder,Distrito de Ciudad Lineal,CALLE GERMAN PEREZ CARRASCO 51,BAJA,1,350/2023/32532,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2023/38857,29/02/24,Conceder
11013569,Conceder,Distrito de Retiro,CALLE PIO BAROJA 2,BAJA,1,350/2023/32557,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2024/04659,06/03/24,Conceder
11052638,Conceder,Distrito de Moncloa-Aravaca,CALLE FERRAZ 41,BAJA,2,350/2023/32563,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2024/15714,04/09/24,Conceder
11078004,Conceder,Distrito de Carabanchel,CALLE MARIANISTAS 5,"SEGUNDA, TERCERA, CUARTA",17,350/2023/32722,VIVIENDAS DE USO TURÍSTICO,16/11/23,,,
11021946,Conceder,Distrito de Chamartín,CALLE CANILLAS 5,BAJA,21,350/2023/32769,VIVIENDAS DE USO TURÍSTICO,21/11/23,350/2024/10677,17/04/24,Conceder
11000839,Conceder,Distrito de Centro,CALLE SAN ISIDRO LABRADOR 8,BAJA,1,350/2023/32833,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2024/16480,14/08/24,Conceder
11107210,Conceder,Distrito de Ciudad Lineal,CALLE GANDHI 69,BAJA,1,350/2023/32867,VIVIENDAS DE USO TURÍSTICO,20/09/24,,,
11013569,Conceder,Distrito de Retiro,CALLE PIO BAROJA 2,BAJA,1,350/2023/33101,VIVIENDAS DE USO TURÍSTICO,16/11/23,350/2024/04658,11/04/24,Conceder
11108625,Conceder,Distrito de Ciudad Lineal,CALLE ZIGIA 13,BAJA,1,350/2023/33255,VIVIENDAS DE USO TURÍSTICO,28/11/23,350/2023/38721,24/11/23,Conceder
11010438,Conceder,Distrito de Arganzuela,PASEO SANTA MARIA DE LA CABEZA 21,BAJA,1,350/2023/33265,VIVIENDAS DE USO TURÍSTICO,28/11/23,350/2024/31794,31/10/24,Conceder
11013569,Conceder,Distrito de Retiro,CALLE PIO BAROJA 2,BAJA,1,350/2023/33306,VIVIENDAS DE USO TURÍSTICO,21/11/23,350/2024/04656,29/02/24,Conceder
11060225,Conceder,Distrito de Latina,CALLE DOÑA BERENGUELA 19,BAJA,1,350/2023/33343,VIVIENDAS DE USO TURÍSTICO,24/11/23,,,
11013569,Conceder,Distrito de Retiro,CALLE PIO BAROJA 2,BAJA,1,350/2023/33523,VIVIENDAS DE USO TURÍSTICO,20/02/24,350/2024/07835,05/04/24,Conceder
11037586,Conceder,Distrito de Tetuan,CALLE ALONSO NUÑEZ 18,BAJA,2,350/2023/33581,VIVIENDAS DE USO TURÍSTICO,26/01/24,350/2024/27863,13/12/24,Conceder
11025272,Conceder,Distrito de Chamartín,CALLE COCHABAMBA 22,BAJA,1,350/2023/33625,VIVIENDAS DE USO TURÍSTICO,21/11/23,350/2024/17414,14/10/24,Conceder
31023656,Conceder,Distrito de Arganzuela,CALLE BRONCE 10 A,BAJA,1,350/2023/33642,VIVIENDAS DE USO TURÍSTICO,10/01/24,350/2024/05734,14/03/24,Conceder
11078054,Conceder,Distrito de Carabanchel,CALLE GABRIEL GOMEZ 12,BAJA,1,350/2023/33651,VIVIENDAS DE USO TURÍSTICO,19/12/25,,,
11005427,Conceder,Distrito de Centro,CALLE MONTELEON  11,BAJA,1,350/2023/33667,VIVIENDAS DE USO TURÍSTICO,19/11/23,350/2024/23850,22/10/24,Conceder
31047692,Conceder,Distrito de Ciudad Lineal,CALLE VIRGEN DEL PUIG 10,BAJA,1,350/2023/33683,VIVIENDAS DE USO TURÍSTICO,19/02/24,350/2025/34433,20/05/26,Conceder
11002180,Conceder,Distrito de Centro,CALLE PEÑA DE FRANCIA 5,BAJA,1,350/2023/33721,VIVIENDAS DE USO TURÍSTICO,11/04/24,,,
11015896,Conceder,Distrito de Salamanca,CALLE JORGE JUAN 112,BAJA,1,350/2023/33800,VIVIENDAS DE USO TURÍSTICO,21/11/23,350/2023/38511,04/01/24,Conceder
20134288,Conceder,Distrito de Ciudad Lineal,CALLE CONDADO DE TREVIÑO 2,BAJA,1,350/2023/33840,VIVIENDAS DE USO TURÍSTICO,20/09/24,,,
11029221,Conceder,Distrito de Tetuan,CALLE AVIADOR ZORITA 3,PRIMERA,1,350/2023/33843,VIVIENDAS DE USO TURÍSTICO,27/11/23,350/2024/00304,18/01/24,Conceder
11030007,Conceder,Distrito de Tetuan,CALLE ORENSE 39,BAJA,1,350/2023/33853,VIVIENDAS DE USO TURÍSTICO,27/11/23,350/2025/39676,19/12/25,Conceder
11108510,Conceder,Distrito de Ciudad Lineal,CALLE BOLDANO 41,BAJA,1,350/2023/33858,VIVIENDAS DE USO TURÍSTICO,18/09/24,350/2024/27971,29/10/24,Conceder
11026385,Conceder,Distrito de Chamartín,CALLE NUESTRA SEÑORA DE LUJAN 9,BAJA,1,350/2023/34005,VIVIENDAS DE USO TURÍSTICO,22/04/24,350/2025/34861,22/01/26,Conceder
11062827,Conceder,Distrito de Latina,CALLE CORIA 9,BAJA,1,350/2023/34041,VIVIENDAS DE USO TURÍSTICO,24/11/23,350/2023/38512,04/01/24,Conceder
11004633,Conceder,Distrito de Centro,CALLE SAN MARCOS 21,BAJA,1,350/2023/34050,VIVIENDAS DE USO TURÍSTICO,24/11/23,350/2025/08481,26/03/25,Conceder
11029131,Conceder,Distrito de Tetuan,CALLE ARTISTAS 8,BAJA,2,350/2023/34066,VIVIENDAS DE USO TURÍSTICO,28/11/23,350/2024/26197,09/10/24,Conceder
11002161,Conceder,Distrito de Centro,CALLE HUERTA DEL BAYO 4,BAJA,1,350/2023/34198,VIVIENDAS DE USO TURÍSTICO,28/11/23,350/2024/24449,04/09/24,Conceder
11010802,Conceder,Distrito de Retiro,CALLE JOSE SANCHEZ PESCADOR 12,BAJA,1,350/2023/34217,VIVIENDAS DE USO TURÍSTICO,27/11/23,350/2024/20357,01/10/24,Conceder
11008781,Conceder,Distrito de Arganzuela,CALLE FERNANDO POO 16,BAJA,1,350/2023/34239,VIVIENDAS DE USO TURÍSTICO,27/11/23,350/2024/15789,31/05/24,Conceder
11038608,Conceder,Distrito de Chamberí,CALLE GAZTAMBIDE 20,BAJA,1,350/2023/34344,VIVIENDAS DE USO TURÍSTICO,26/09/24,,,
