P. Turismo y eventos
Turismo
Infraestructura hotelera
"1.2.3. Oferta de apartamentos turísticos y hotel-apartamentos en la ciudad de Madrid por Categoría, Tipo de establecimiento y Distrito"
;;;Total;Total
;;;Establecimientos;Plazas
2022;Hotel-apartamento;08. Fuencarral-El Pardo;0;0
2022;Hotel-apartamento;09. Moncloa-Aravaca;0;0
2022;Hotel-apartamento;10. Latina;0;0
2022;Hotel-apartamento;11. Carabanchel;0;0
2022;Hotel-apartamento;12. Usera;1;154
2022;Hotel-apartamento;13. Puente de Vallecas;0;0
2022;Hotel-apartamento;14. Moratalaz;0;0
2022;Hotel-apartamento;15. Ciudad Lineal;2;402
2022;Hotel-apartamento;16. Hortaleza;0;0
2022;Hotel-apartamento;17. Villaverde;2;262
2022;Hotel-apartamento;18. Villa de Vallecas;0;0
2022;Hotel-apartamento;19. Vicálvaro;1;176
2022;Hotel-apartamento;20. San Blas-Canillejas;0;0
2022;Hotel-apartamento;21. Barajas;0;0
2023;Apartamento turístico;Ciudad de Madrid;148;11.779
2023;Apartamento turístico;01. Centro;59;3.109
2023;Apartamento turístico;02. Arganzuela;7;209
2023;Apartamento turístico;03. Retiro;2;101
2023;Apartamento turístico;04. Salamanca;11;1.018
2023;Apartamento turístico;05. Chamartín;10;1.109
2023;Apartamento turístico;06. Tetuán;9;399
2023;Apartamento turístico;07. Chamberí;8;530
2023;Apartamento turístico;08. Fuencarral-El Pardo;0;0
2023;Apartamento turístico;09. Moncloa-Aravaca;12;1.079
2023;Apartamento turístico;10. Latina;1;52
2023;Apartamento turístico;11. Carabanchel;4;94
2023;Apartamento turístico;12. Usera;0;0
2023;Apartamento turístico;13. Puente de Vallecas;7;941
2023;Apartamento turístico;14. Moratalaz;0;0
2023;Apartamento turístico;15. Ciudad Lineal;2;22
2023;Apartamento turístico;16. Hortaleza;1;10
2023;Apartamento turístico;17. Villaverde;2;20
2023;Apartamento turístico;18. Villa de Vallecas;0;0
2023;Apartamento turístico;19. Vicálvaro;0;0
2023;Apartamento turístico;20. San Blas-Canillejas;12;3.078
2023;Apartamento turístico;21. Barajas;1;8
2023;Hotel-apartamento;Ciudad de Madrid;16;2.869
2023;Hotel-apartamento;01. Centro;4;432
2023;Hotel-apartamento;02. Arganzuela;0;0
2023;Hotel-apartamento;03. Retiro;0;0
2023;Hotel-apartamento;04. Salamanca;2;102
2023;Hotel-apartamento;05. Chamartín;2;181
2023;Hotel-apartamento;06. Tetuán;0;0
2023;Hotel-apartamento;07. Chamberí;0;0
2023;Hotel-apartamento;08. Fuencarral-El Pardo;0;0
2023;Hotel-apartamento;09. Moncloa-Aravaca;0;0
2023;Hotel-apartamento;10. Latina;1;24
2023;Hotel-apartamento;11. Carabanchel;0;0
2023;Hotel-apartamento;12. Usera;1;154
2023;Hotel-apartamento;13. Puente de Vallecas;0;0
2023;Hotel-apartamento;14. Moratalaz;0;0
2023;Hotel-apartamento;15. Ciudad Lineal;2;402
2023;Hotel-apartamento;16. Hortaleza;1;1.136
2023;Hotel-apartamento;17. Villaverde;2;262
2023;Hotel-apartamento;18. Villa de Vallecas;0;0
2023;Hotel-apartamento;19. Vicálvaro;1;176
2023;Hotel-apartamento;20. San Blas-Canillejas;0;0
2023;Hotel-apartamento;21. Barajas;0;0
2024;Apartamento turístico;Ciudad de Madrid;177;14.020
2024;Apartamento turístico;01. Centro;59;3.268
2024;Apartamento turístico;02. Arganzuela;13;437
2024;Apartamento turístico;03. Retiro;3;242
2024;Apartamento turístico;04. Salamanca;11;1.049
2024;Apartamento turístico;05. Chamartín;10;1.167
2024;Apartamento turístico;06. Tetuán;15;637
2024;Apartamento turístico;07. Chamberí;9;574
2024;Apartamento turístico;08. Fuencarral-El Pardo;0;0
2024;Apartamento turístico;09. Moncloa-Aravaca;13;1.129
2024;Apartamento turístico;10. Latina;2;60
2024;Apartamento turístico;11. Carabanchel;6;120
2024;Apartamento turístico;12. Usera;1;8
2024;Apartamento turístico;13. Puente de Vallecas;12;1.049
2024;Apartamento turístico;14. Moratalaz;0;0
2024;Apartamento turístico;15. Ciudad Lineal;3;34
2024;Apartamento turístico;16. Hortaleza;3;44
2024;Apartamento turístico;17. Villaverde;3;28
2024;Apartamento turístico;18. Villa de Vallecas;0;0
2024;Apartamento turístico;19. Vicálvaro;0;0
2024;Apartamento turístico;20. San Blas-Canillejas;12;4.128
2024;Apartamento turístico;21. Barajas;2;46
2024;Hotel-apartamento;Ciudad de Madrid;21;3.259
2024;Hotel-apartamento;01. Centro;4;432
2024;Hotel-apartamento;02. Arganzuela;0;0
2024;Hotel-apartamento;03. Retiro;0;0
2024;Hotel-apartamento;04. Salamanca;2;102
2024;Hotel-apartamento;05. Chamartín;2;181
2024;Hotel-apartamento;06. Tetuán;1;8
2024;Hotel-apartamento;07. Chamberí;0;0
2024;Hotel-apartamento;08. Fuencarral-El Pardo;0;0
2024;Hotel-apartamento;09. Moncloa-Aravaca;1;57
2024;Hotel-apartamento;10. Latina;1;24
2024;Hotel-apartamento;11. Carabanchel;2;119
2024;Hotel-apartamento;12. Usera;1;154
2024;Hotel-apartamento;13. Puente de Vallecas;0;0
2024;Hotel-apartamento;14. Moratalaz;0;0
2024;Hotel-apartamento;15. Ciudad Lineal;2;402
2024;Hotel-apartamento;16. Hortaleza;1;1.136
2024;Hotel-apartamento;17. Villaverde;2;262
2024;Hotel-apartamento;18. Villa de Vallecas;1;206
2024;Hotel-apartamento;19. Vicálvaro;1;176
2024;Hotel-apartamento;20. San Blas-Canillejas;0;0
2024;Hotel-apartamento;21. Barajas;0;0
;
;
Fuente: Registro de Establecimientos Turísticos Comunidad de Madrid
"Observaciones: Debido a las distintas actualizaciones en los directorios de establecimientos los datos del año 2024 se corresponden con la actualización a 30 de junio de 2025, datos del 2023 con actualización a 31 de marzo de 2024 y datos del 2022 con actualización a 28 de abril de 2023.
"
