E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
Total;Año;Distrito;Barrio;Euros/m2
Total;2024;05. Chamartín;05. Chamartín;"6.401,56"
Total;2024;06. Tetuán;06. Tetuán;"4.755,80"
Total;2024;07. Chamberí;07. Chamberí;"7.150,33"
Total;2024;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.594,85"
Total;2024;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"5.088,08"
Total;2024;10. Latina;10. Latina;"2.895,11"
Total;2024;11. Carabanchel;11. Carabanchel;"2.831,45"
Total;2024;12. Usera;12. Usera;"2.516,33"
Total;2024;13. Puente de Vallecas;13. Puente de Vallecas;"2.444,16"
Total;2024;14. Moratalaz;14. Moratalaz;"3.174,38"
Total;2024;15. Ciudad Lineal;15. Ciudad Lineal;"4.001,36"
Total;2024;16. Hortaleza;16. Hortaleza;"4.446,27"
Total;2024;17. Villaverde;17. Villaverde;"2.112,72"
Total;2024;18. Villa de Vallecas;18. Villa de Vallecas;"2.955,81"
Total;2024;19. Vicálvaro;19. Vicálvaro;"3.165,40"
Total;2024;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.909,53"
Total;2024;21. Barajas;21. Barajas;"3.791,76"
Total;2025;Ciudad de Madrid;Ciudad de Madrid;"5.285,72"
Total;2025;01. Centro;01. Centro;"7.147,70"
Total;2025;02. Arganzuela;02. Arganzuela;"6.086,21"
Total;2025;03. Retiro;03. Retiro;"7.469,32"
Total;2025;04. Salamanca;04. Salamanca;"9.405,91"
Total;2025;05. Chamartín;05. Chamartín;"7.427,12"
Total;2025;06. Tetuán;06. Tetuán;"5.447,04"
Total;2025;07. Chamberí;07. Chamberí;"8.238,24"
Total;2025;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"5.417,12"
Total;2025;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"5.869,93"
Total;2025;10. Latina;10. Latina;"3.534,13"
Total;2025;11. Carabanchel;11. Carabanchel;"3.345,97"
Total;2025;12. Usera;12. Usera;"3.387,93"
Total;2025;13. Puente de Vallecas;13. Puente de Vallecas;"2.928,82"
Total;2025;14. Moratalaz;14. Moratalaz;"3.997,38"
Total;2025;15. Ciudad Lineal;15. Ciudad Lineal;"4.677,43"
Total;2025;16. Hortaleza;16. Hortaleza;"5.079,71"
Total;2025;17. Villaverde;17. Villaverde;"2.649,60"
Total;2025;18. Villa de Vallecas;18. Villa de Vallecas;"3.278,00"
Total;2025;19. Vicálvaro;19. Vicálvaro;"3.841,16"
Total;2025;20. San Blas-Canillejas;20. San Blas-Canillejas;"3.474,52"
Total;2025;21. Barajas;21. Barajas;"4.611,65"
;
;
Fuente: Colegio de Registradores de España
"Observaciones: Tasa de cobertura: La información recoge 96,8% de las transmisiones de 2007;97,6% de 2008;98,1% de 2009;96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;98,1% de 2009; 96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;96,1% de 2015;97,3% de 2016;97,1% de 2017;98,0% de 2018; 98,4% de 2019; 95,3% de 2020;95,6% del 2021,97,5% de 2022;97,5 de 2023 y 97,7%2024 y 2025(compraventas de viviendas con transmisión del 100% del dominio sobre la propiedad) y de las constituciones de hipotecas recogidas por los Registros de la Propiedad y las referidas al municipio de Madrid. En 2017 cambia de nombre el barrio de San Andrés por Casco histórico de Villaverde; en Villa de Vallecas se crea el barrio de Ensanche de Vallecas y en Vicálvaro se reestructuran los barrios. Para evitar ofrecer dar datos poco significativos, sólo se muestra el dato por barrio cuando se dispone de un número mínimo de 15 casos para calcular la media; sin embargo el dato de distrito siempre recoge todos los casos"
