E. Edificación y Vivienda
Mercado de la vivienda
Sistema Estatal de Referencia del Precio del Alquiler de Vivienda
"4.4.1. Número de viviendas en alquiler, Superficie media (m2), Renta media (€/m2.mes) y Cuantía media del arrendamiento (€/mes) por Distrito"
;;Número de viviendas en alquiler;Número de viviendas en alquiler;Número de viviendas en alquiler;Superficie media vivienda colectiva (m2);Renta media vivienda colectiva (€/m2.mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Superficie media vivienda unifamiliar (m2);Renta media vivienda unifamiliar (€/m2.mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes)
;;Número total de  viviendas alquiler;Número de viviendas colectivas en alquiler;Número de viviendas unifamiliares en alquiler;Mediana;Mediana;Mediana;Mediana;Mediana;Mediana
2021;07. Chamberí;"17.944,00";"17.925,00";"19,00";"64,00";"16,05";"998,75";"49,00";"13,73";"700,00"
2021;08. Fuencarral-El Pardo;"19.248,00";"18.788,00";"460,00";"77,00";"12,37";"894,61";"200,50";"9,90";"1.335,90"
2021;09. Moncloa-Aravaca;"10.238,00";"9.808,00";"430,00";"70,00";"13,61";"900,49";"242,00";"11,31";"1.929,28"
2021;10. Latina;"17.430,00";"17.327,00";"103,00";"66,00";"10,14";"651,95";"90,00";"8,55";"670,83"
2021;11. Carabanchel;"19.082,00";"18.990,00";"92,00";"64,00";"10,27";"650,00";"84,00";"10,96";"788,91"
2021;12. Usera;"8.255,00";"8.126,00";"129,00";"66,00";"9,79";"645,09";"81,00";"8,66";"668,75"
2021;13. Puente de Vallecas;"14.145,00";"13.898,00";"247,00";"60,00";"10,00";"600,01";"69,00";"8,70";"600,00"
2021;14. Moratalaz;"5.519,00";"5.510,00";"9,00";"70,00";"10,34";"703,40";"0,00";"0,00";"0,00"
2021;15. Ciudad Lineal;"19.785,00";"19.646,00";"139,00";"64,00";"11,70";"735,51";"132,00";"10,87";"950,00"
2021;16. Hortaleza;"13.394,00";"12.920,00";"474,00";"80,00";"12,18";"896,61";"270,00";"11,56";"2.330,18"
2021;17. Villaverde;"8.285,00";"8.215,00";"70,00";"66,00";"8,93";"600,00";"51,50";"8,42";"550,00"
2021;18. Villa de Vallecas;"7.133,00";"7.098,00";"35,00";"70,00";"10,66";"695,00";"194,00";"8,48";"1.190,00"
2021;19. Vicálvaro;"4.414,00";"4.385,00";"29,00";"73,00";"9,68";"700,00";"89,00";"8,82";"775,00"
2021;20. San Blas-Canillejas;"10.356,00";"10.141,00";"215,00";"69,00";"11,28";"735,00";"205,00";"9,95";"1.218,75"
2021;21. Barajas;"3.671,00";"3.507,00";"164,00";"80,00";"11,69";"825,74";"216,50";"9,77";"1.355,72"
2022;Ciudad de Madrid;"281.462,00";"278.359,00";"3.103,00";"66,00";"12,77";"800,00";"165,00";"11,30";"1.200,00"
2022;01. Centro;"19.945,00";"19.938,00";"7,00";"55,00";"16,01";"854,25";"0,00";"0,00";"0,00"
2022;02. Arganzuela;"15.290,00";"15.286,00";"4,00";"63,00";"14,55";"861,66";"0,00";"0,00";"0,00"
2022;03. Retiro;"9.698,00";"9.664,00";"34,00";"72,00";"14,58";"985,16";"159,50";"12,49";"1.178,00"
2022;04. Salamanca;"16.331,00";"16.267,00";"64,00";"65,00";"16,35";"1.000,00";"207,00";"11,51";"1.800,00"
2022;05. Chamartín;"15.054,00";"14.790,00";"264,00";"67,00";"15,44";"1.000,00";"187,50";"14,71";"2.317,24"
2022;06. Tetuán;"18.764,00";"18.703,00";"61,00";"56,00";"14,52";"795,27";"76,00";"12,20";"1.000,00"
2022;07. Chamberí;"18.528,00";"18.506,00";"22,00";"64,00";"16,80";"1.036,92";"49,00";"12,75";"716,67"
2022;08. Fuencarral-El Pardo;"19.701,00";"19.245,00";"456,00";"77,00";"12,75";"900,00";"199,00";"10,28";"1.420,00"
2022;09. Moncloa-Aravaca;"10.582,00";"10.145,00";"437,00";"70,00";"14,14";"950,00";"241,50";"11,82";"2.024,53"
2022;10. Latina;"18.235,00";"18.135,00";"100,00";"66,00";"10,56";"692,59";"86,50";"9,17";"734,30"
2022;11. Carabanchel;"20.019,00";"19.926,00";"93,00";"63,00";"10,71";"662,50";"85,00";"11,36";"806,63"
2022;12. Usera;"8.677,00";"8.539,00";"138,00";"66,00";"10,17";"653,24";"81,00";"9,20";"700,00"
2022;13. Puente de Vallecas;"14.965,00";"14.701,00";"264,00";"60,00";"10,45";"637,91";"69,00";"9,48";"648,66"
2022;14. Moratalaz;"5.742,00";"5.735,00";"7,00";"70,00";"10,71";"743,89";"0,00";"0,00";"0,00"
2022;15. Ciudad Lineal;"20.581,00";"20.444,00";"137,00";"64,00";"12,12";"750,00";"131,00";"11,46";"1.000,00"
2022;16. Hortaleza;"13.892,00";"13.403,00";"489,00";"81,00";"12,59";"911,75";"270,00";"12,04";"2.490,90"
2022;17. Villaverde;"8.771,00";"8.696,00";"75,00";"66,00";"9,31";"615,37";"55,00";"8,90";"577,46"
2022;18. Villa de Vallecas;"7.402,00";"7.367,00";"35,00";"70,00";"10,94";"700,00";"194,00";"9,12";"1.136,67"
2022;19. Vicálvaro;"4.702,00";"4.669,00";"33,00";"75,00";"10,00";"727,20";"107,00";"9,71";"900,00"
2022;20. San Blas-Canillejas;"10.787,00";"10.560,00";"227,00";"68,00";"11,63";"750,00";"213,50";"10,57";"1.243,04"
2022;21. Barajas;"3.796,00";"3.640,00";"156,00";"80,00";"12,05";"850,00";"207,50";"9,71";"1.312,26"
2023;Ciudad de Madrid;"294.408,00";"291.225,00";"3.183,00";"66,00";"13,30";"825,00";"160,00";"11,30";"1.241,67"
2023;01. Centro;"20.393,00";"20.385,00";"8,00";"55,00";"16,77";"900,00";"0,00";"0,00";"0,00"
2023;02. Arganzuela;"16.001,00";"15.997,00";"4,00";"63,00";"15,19";"900,00";"0,00";"0,00";"0,00"
2023;03. Retiro;"10.025,00";"9.991,00";"34,00";"72,00";"15,28";"1.021,70";"168,50";"13,67";"1.325,00"
2023;04. Salamanca;"16.821,00";"16.753,00";"68,00";"65,00";"17,21";"1.086,31";"207,00";"12,28";"1.801,80"
2023;05. Chamartín;"15.660,00";"15.390,00";"270,00";"68,00";"16,14";"1.052,06";"190,50";"15,22";"2.374,03"
2023;06. Tetuán;"19.616,00";"19.549,00";"67,00";"56,00";"15,22";"825,00";"76,00";"12,52";"1.035,93"
2023;07. Chamberí;"19.246,00";"19.224,00";"22,00";"64,00";"17,58";"1.100,00";"49,00";"13,24";"741,67"
2023;08. Fuencarral-El Pardo;"20.530,00";"20.072,00";"458,00";"77,00";"13,21";"950,00";"189,00";"10,79";"1.426,50"
2023;09. Moncloa-Aravaca;"11.033,00";"10.599,00";"434,00";"69,00";"14,81";"998,76";"241,00";"12,34";"2.104,17"
2023;10. Latina;"19.247,00";"19.145,00";"102,00";"66,00";"11,00";"710,00";"81,50";"9,61";"752,50"
2023;11. Carabanchel;"21.180,00";"21.084,00";"96,00";"63,00";"11,16";"700,00";"84,50";"11,68";"843,83"
2023;12. Usera;"9.162,00";"9.013,00";"149,00";"66,00";"10,63";"700,00";"81,00";"9,80";"746,20"
2023;13. Puente de Vallecas;"15.803,00";"15.528,00";"275,00";"61,00";"10,90";"654,33";"69,00";"9,94";"670,83"
2023;14. Moratalaz;"6.040,00";"6.034,00";"6,00";"70,00";"11,21";"765,00";"0,00";"0,00";"0,00"
2023;15. Ciudad Lineal;"21.692,00";"21.550,00";"142,00";"64,00";"12,66";"795,04";"122,50";"12,22";"1.016,26"
2023;16. Hortaleza;"14.561,00";"14.058,00";"503,00";"79,00";"13,08";"950,00";"269,00";"12,10";"2.459,00"
2023;17. Villaverde;"9.312,00";"9.239,00";"73,00";"66,00";"9,72";"650,00";"55,00";"9,35";"550,00"
2023;18. Villa de Vallecas;"7.763,00";"7.728,00";"35,00";"71,00";"11,33";"740,00";"194,00";"9,59";"1.275,00"
2023;19. Vicálvaro;"4.978,00";"4.935,00";"43,00";"75,00";"10,43";"750,00";"126,00";"10,20";"905,19"
2023;20. San Blas-Canillejas;"11.284,00";"11.053,00";"231,00";"68,00";"12,13";"777,08";"205,00";"10,72";"1.244,38"
2023;21. Barajas;"4.061,00";"3.898,00";"163,00";"80,00";"12,50";"900,00";"198,00";"10,00";"1.400,00"
2024;Ciudad de Madrid;"303.695,00";"300.447,00";"3.248,00";"66,00";"13,97";"868,75";"156,00";"11,77";"1.272,81"
2024;01. Centro;"20.525,00";"20.518,00";"7,00";"55,00";"17,70";"950,00";"0,00";"0,00";"0,00"
2024;02. Arganzuela;"16.442,00";"16.437,00";"5,00";"63,00";"15,97";"950,00";"0,00";"0,00";"0,00"
2024;03. Retiro;"10.300,00";"10.267,00";"33,00";"72,00";"16,04";"1.100,00";"168,00";"14,85";"1.575,00"
2024;04. Salamanca;"17.139,00";"17.072,00";"67,00";"65,00";"18,31";"1.158,71";"204,00";"13,04";"1.686,04"
2024;05. Chamartín;"16.018,00";"15.758,00";"260,00";"68,00";"17,07";"1.125,72";"184,00";"16,11";"2.540,00"
2024;06. Tetuán;"20.337,00";"20.271,00";"66,00";"56,00";"16,08";"875,00";"75,50";"13,39";"1.100,00"
2024;07. Chamberí;"19.675,00";"19.653,00";"22,00";"64,00";"18,55";"1.175,00";"49,00";"16,27";"816,96"
2024;08. Fuencarral-El Pardo;"21.122,00";"20.653,00";"469,00";"77,00";"13,77";"995,30";"190,00";"11,22";"1.449,33"
2024;09. Moncloa-Aravaca;"11.288,00";"10.848,00";"440,00";"69,00";"15,50";"1.050,00";"243,00";"12,97";"2.306,74"
2024;10. Latina;"20.054,00";"19.942,00";"112,00";"66,00";"11,54";"750,00";"81,50";"10,00";"808,00"
2024;11. Carabanchel;"22.082,00";"21.978,00";"104,00";"63,00";"11,76";"731,28";"84,00";"12,20";"882,17"
2024;12. Usera;"9.569,00";"9.408,00";"161,00";"66,00";"11,18";"727,70";"81,00";"10,49";"800,00"
2024;13. Puente de Vallecas;"16.624,00";"16.332,00";"292,00";"60,00";"11,48";"700,00";"69,00";"10,47";"700,00"
2024;14. Moratalaz;"6.259,00";"6.250,00";"9,00";"70,00";"11,73";"800,00";"0,00";"0,00";"0,00"
2024;15. Ciudad Lineal;"22.429,00";"22.285,00";"144,00";"64,00";"13,28";"824,08";"121,00";"13,25";"1.114,88"
2024;16. Hortaleza;"14.943,00";"14.435,00";"508,00";"81,00";"13,66";"1.000,00";"262,50";"12,72";"2.438,27"
2024;17. Villaverde;"9.667,00";"9.599,00";"68,00";"66,00";"10,26";"687,50";"55,00";"9,90";"604,65"
2024;18. Villa de Vallecas;"7.941,00";"7.904,00";"37,00";"72,00";"11,87";"770,00";"194,00";"9,61";"1.300,00"
2024;19. Vicálvaro;"5.397,00";"5.348,00";"49,00";"76,00";"11,01";"800,00";"162,00";"10,68";"1.100,00"
2024;20. San Blas-Canillejas;"11.666,00";"11.435,00";"231,00";"67,00";"12,69";"807,17";"205,00";"11,06";"1.251,77"
2024;21. Barajas;"4.218,00";"4.054,00";"164,00";"80,00";"13,10";"929,17";"192,00";"10,13";"1.381,05"
;
;
Fuente: Sistema Estatal de Referencia del Precio del Alquiler de Vivienda. Ministerio de  Vivienda y Agenda Urbana.
Observaciones:  Datos obtenidos a través de la explotación estadística de fuentes tributarias.
